{'loss': 0.6931, 'grad_norm': 26.219816207885742, 'learning_rate': 1e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -9.16252326965332, 'logps/rejected': -72.93712615966797, 'logits/chosen': -18.747289657592773, 'logits/rejected': -18.851369857788086, 'epoch': 0.0}
{'loss': 0.679, 'grad_norm': 52.904937744140625, 'learning_rate': 9.9e-07, 'rewards/chosen': 0.004342270083725452, 'rewards/rejected': -0.02421417273581028, 'rewards/accuracies': 1.0, 'rewards/margins': 0.028556443750858307, 'logps/chosen': -41.587032318115234, 'logps/rejected': -73.72825622558594, 'logits/chosen': -24.759418487548828, 'logits/rejected': -24.590709686279297, 'epoch': 0.0}
{'loss': 0.7077, 'grad_norm': 17.194334030151367, 'learning_rate': 9.8e-07, 'rewards/chosen': -0.00914840679615736, 'rewards/rejected': 0.01975708082318306, 'rewards/accuracies': 0.0, 'rewards/margins': -0.028905488550662994, 'logps/chosen': -29.996353149414062, 'logps/rejected': -70.65077209472656, 'logits/chosen': -15.499921798706055, 'logits/rejected': -14.958915710449219, 'epoch': 0.0}
{'loss': 0.6945, 'grad_norm': 65.92587280273438, 'learning_rate': 9.7e-07, 'rewards/chosen': -0.0169677734375, 'rewards/rejected': -0.01417388953268528, 'rewards/accuracies': 0.0, 'rewards/margins': -0.00279388390481472, 'logps/chosen': -74.64974975585938, 'logps/rejected': -213.16360473632812, 'logits/chosen': -23.442049026489258, 'logits/rejected': -21.49619483947754, 'epoch': 0.0}
{'loss': 0.7173, 'grad_norm': 112.55296325683594, 'learning_rate': 9.6e-07, 'rewards/chosen': -0.06585693359375, 'rewards/rejected': -0.018157958984375, 'rewards/accuracies': 0.0, 'rewards/margins': -0.047698974609375, 'logps/chosen': -758.1060180664062, 'logps/rejected': -705.6693115234375, 'logits/chosen': -19.55657196044922, 'logits/rejected': -20.498573303222656, 'epoch': 0.0}
{'loss': 0.7012, 'grad_norm': 101.38890075683594, 'learning_rate': 9.499999999999999e-07, 'rewards/chosen': -0.026611328125, 'rewards/rejected': -0.010638427920639515, 'rewards/accuracies': 0.0, 'rewards/margins': -0.01597290113568306, 'logps/chosen': -517.744140625, 'logps/rejected': -500.0960693359375, 'logits/chosen': -22.62830352783203, 'logits/rejected': -22.72724723815918, 'epoch': 0.01}
{'loss': 0.7196, 'grad_norm': 93.12425994873047, 'learning_rate': 9.399999999999999e-07, 'rewards/chosen': -0.011315918527543545, 'rewards/rejected': 0.04081420972943306, 'rewards/accuracies': 0.0, 'rewards/margins': -0.05213012918829918, 'logps/chosen': -710.4990234375, 'logps/rejected': -716.6319580078125, 'logits/chosen': -18.336158752441406, 'logits/rejected': -18.432350158691406, 'epoch': 0.01}
{'loss': 0.6725, 'grad_norm': 96.96019744873047, 'learning_rate': 9.3e-07, 'rewards/chosen': 0.10291748493909836, 'rewards/rejected': 0.06109619140625, 'rewards/accuracies': 1.0, 'rewards/margins': 0.04182129353284836, 'logps/chosen': -992.4139404296875, 'logps/rejected': -309.54425048828125, 'logits/chosen': -21.14004135131836, 'logits/rejected': -22.370018005371094, 'epoch': 0.01}
{'loss': 0.6664, 'grad_norm': 46.98701858520508, 'learning_rate': 9.2e-07, 'rewards/chosen': 0.023197555914521217, 'rewards/rejected': -0.031079484149813652, 'rewards/accuracies': 1.0, 'rewards/margins': 0.05427704006433487, 'logps/chosen': -51.28157424926758, 'logps/rejected': -38.29240417480469, 'logits/chosen': -21.55929183959961, 'logits/rejected': -22.150516510009766, 'epoch': 0.01}
{'loss': 0.7093, 'grad_norm': 63.91331100463867, 'learning_rate': 9.1e-07, 'rewards/chosen': -0.04269104078412056, 'rewards/rejected': -0.010678100399672985, 'rewards/accuracies': 0.0, 'rewards/margins': -0.032012939453125, 'logps/chosen': -375.0364990234375, 'logps/rejected': -121.02603149414062, 'logits/chosen': -17.44468879699707, 'logits/rejected': -11.88697338104248, 'epoch': 0.01}
{'loss': 0.7365, 'grad_norm': 107.99658966064453, 'learning_rate': 9e-07, 'rewards/chosen': -0.04237060621380806, 'rewards/rejected': 0.04250488430261612, 'rewards/accuracies': 0.0, 'rewards/margins': -0.08487549424171448, 'logps/chosen': -768.3170166015625, 'logps/rejected': -1729.7264404296875, 'logits/chosen': -21.396381378173828, 'logits/rejected': -7.971277713775635, 'epoch': 0.01}
{'loss': 0.6791, 'grad_norm': 70.2651138305664, 'learning_rate': 8.9e-07, 'rewards/chosen': 0.01544189453125, 'rewards/rejected': -0.012927246280014515, 'rewards/accuracies': 1.0, 'rewards/margins': 0.02836913987994194, 'logps/chosen': -412.0830383300781, 'logps/rejected': -338.2430419921875, 'logits/chosen': -19.15726089477539, 'logits/rejected': -20.508264541625977, 'epoch': 0.01}
{'loss': 0.7005, 'grad_norm': 43.06001281738281, 'learning_rate': 8.799999999999999e-07, 'rewards/chosen': -0.03015747107565403, 'rewards/rejected': -0.015461730770766735, 'rewards/accuracies': 0.0, 'rewards/margins': -0.014695740304887295, 'logps/chosen': -178.33529663085938, 'logps/rejected': -166.8533172607422, 'logits/chosen': -20.813425064086914, 'logits/rejected': -20.86576271057129, 'epoch': 0.01}
{'loss': 0.665, 'grad_norm': 112.97052764892578, 'learning_rate': 8.699999999999999e-07, 'rewards/chosen': 0.06654053181409836, 'rewards/rejected': 0.00952758826315403, 'rewards/accuracies': 1.0, 'rewards/margins': 0.05701294541358948, 'logps/chosen': -669.77783203125, 'logps/rejected': -796.3185424804688, 'logits/chosen': -22.714174270629883, 'logits/rejected': -22.090961456298828, 'epoch': 0.01}
{'loss': 0.6592, 'grad_norm': 107.28083038330078, 'learning_rate': 8.599999999999999e-07, 'rewards/chosen': 0.02031250111758709, 'rewards/rejected': -0.04868164286017418, 'rewards/accuracies': 1.0, 'rewards/margins': 0.06899414211511612, 'logps/chosen': -564.6878662109375, 'logps/rejected': -1034.619384765625, 'logits/chosen': -22.47770881652832, 'logits/rejected': -20.542755126953125, 'epoch': 0.01}
