{'loss': 2.6504, 'grad_norm': 3.3079886436462402, 'learning_rate': 2e-05, 'num_tokens': 512.0, 'mean_token_accuracy': 0.47749510407447815, 'epoch': 0.0}
{'loss': 2.037, 'grad_norm': 3.9468517303466797, 'learning_rate': 1.98e-05, 'num_tokens': 1024.0, 'mean_token_accuracy': 0.5185909867286682, 'epoch': 0.0}
{'loss': 3.5211, 'grad_norm': 3.9746294021606445, 'learning_rate': 1.9600000000000002e-05, 'num_tokens': 1536.0, 'mean_token_accuracy': 0.4207436442375183, 'epoch': 0.0}
{'loss': 2.7361, 'grad_norm': 3.4559295177459717, 'learning_rate': 1.94e-05, 'num_tokens': 2048.0, 'mean_token_accuracy': 0.5029354095458984, 'epoch': 0.0}
{'loss': 1.6337, 'grad_norm': 3.6756999492645264, 'learning_rate': 1.9200000000000003e-05, 'num_tokens': 2560.0, 'mean_token_accuracy': 0.587084174156189, 'epoch': 0.0}
{'loss': 2.2477, 'grad_norm': 3.964853525161743, 'learning_rate': 1.9e-05, 'num_tokens': 3072.0, 'mean_token_accuracy': 0.5225048661231995, 'epoch': 0.01}
{'loss': 3.4587, 'grad_norm': 3.3606958389282227, 'learning_rate': 1.88e-05, 'num_tokens': 3584.0, 'mean_token_accuracy': 0.3307240605354309, 'epoch': 0.01}
{'loss': 1.4342, 'grad_norm': 3.467317581176758, 'learning_rate': 1.86e-05, 'num_tokens': 4096.0, 'mean_token_accuracy': 0.6399217247962952, 'epoch': 0.01}
{'loss': 2.4657, 'grad_norm': 3.425588846206665, 'learning_rate': 1.8400000000000003e-05, 'num_tokens': 4608.0, 'mean_token_accuracy': 0.4794520437717438, 'epoch': 0.01}
{'loss': 2.7725, 'grad_norm': 3.800668954849243, 'learning_rate': 1.8200000000000002e-05, 'num_tokens': 5120.0, 'mean_token_accuracy': 0.45205479860305786, 'epoch': 0.01}
{'loss': 1.5145, 'grad_norm': 3.685981512069702, 'learning_rate': 1.8e-05, 'num_tokens': 5632.0, 'mean_token_accuracy': 0.5909980535507202, 'epoch': 0.01}
{'loss': 1.3619, 'grad_norm': 3.321168899536133, 'learning_rate': 1.7800000000000002e-05, 'num_tokens': 6144.0, 'mean_token_accuracy': 0.6340509057044983, 'epoch': 0.01}
